	tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
91	Immune	Mast cell	Mast cell	Mast cell	pos	MITF,CD33,PTPRC,KIT,ENPP3,FCGR2A,FCGR2B,FCER1A,IL3RA,ITGAX,GATA2,TPSB2,TPSAB1,MILR1,CMA1,EDN1,HRH4,IL27RA,LXN,MCPT1,MCPT6,MCEMP1,PAG1,PLSCR1,SRGN,TPSAB1
92	Immune	Mast cell	Mast cell	Mast cell	neg	ITGAM,ITGA2
103	Generic	Endothelial cell	Endothelial cell	common	pos	CD300LG,CD34,CDH5,CLDN5,EGFL7,EMCN,ESAM,FLT1,FLT4,KDR,PECAM1,PODXL,S1PR1,SELE,SELP,TEK,THSD1,THSD7A,VCAM1,VEGFC,VWF
104	Generic	Endothelial cell	Endothelial cell	Endothelial cell	pos	ACKR1,GJA5
105	Generic	Endothelial cell	Endothelial cell	Lymphatic Endothelial cell	pos	PDPN,PROX1
106	Generic	Endothelial cell	Endothelial cell	Endothelial tip cell	pos	ANGPT2,DLL4,ESM1,KCNE3
109	Generic	Smooth muscle cell	Smooth muscle cell	Smooth muscle cell	pos	ACTA2,ACTG2,CALD1,CNN1,DES,EMILIN2,HEXIM1,HRH2,LGR5,LGR6,MYH11,MYL9,NOTCH3,TAGLN,MCAM,TPM2
110	Generic	Fibroblast	Fibroblast	Fibroblast	pos	A2M,ACTA2,C1R,C1S,CADM3,CCDC80,COL1A1,COL1A2,COL3A1,COL5A1,COL6A2,ELN,FAP,FBLN1,FBLN2,LOXL1,LUM,PDGFRA,THY1,DCN,PLA2G2A,RARRES1
111	Generic	Fibroblast	Fibroblast	Fibroblast	neg	EPCAM
113	Generic	Adipocyte	Adipocyte	Adipocyte progenitor cell	pos	CEBPA,EBF2,EGFR,FGF10,GATA3,GLI1,GSC,HOXC4,HOXC6,HOXC8,HOXC9,MMP3,NRG4,PPARG,SCARA5,SMO,STAB1,SULT1E1,TCF7L1,TWIST2,WISP2,WT1,ZNF521
114	Generic	Adipocyte	Adipocyte	Adipocyte	pos	ACADSB,ACSL1,ACVR1C,ADAM12,ADAMTS5,ADIPOQ,ADM2,ADRB1,ADRB2,ADRB3,AGT,ANGPTL2,AOC3,APOC1,APOL6,APPL2,AQP5,AR,ARNT,AZGP1,BCAT2,C3,CAVIN1,CCL11,CDO1,CFD,CIDEA,CIDEC,CITED1,COL5A3,COL6A2,CPPED1,CPT1B,CPXM1,CREB3L1,CRNDE,CYP11B2,CYP1B1,CYP27A1,CYTH3,DEPTOR,DPT,EBF2,EGFR,ELOVL3,EPSTI1,ESM1,FABP4,FFAR2,FGF7,FMO1,FST,FZD4,GDF10,GULP1,H6PD,HOXC9,HSD11B1,LBP,LEP,LGALS12,LHX8,LOX,LPIN1,LRP1,MAOB,MC2R,MEST,METRN,METRNL,MMP2,MNDA,MPZL1,MT2A,MYO1C,NMB,NNMT,NQO1,NR1H3,P2RX5,PCK1,PDE3B,PIKFYVE,PLIN1,PNPLA2,POSTN,PPARG,PPARGC1A,PRDM16,PTGES,PXMP2,RARRES2,RETN,RSPO3,SERPINF1,SLC1A5,SLC2A4,SLC36A2,SOCS1,STAT6,STEAP4,SULT1A1,SYAP1,TBX1,TCF21,TFE3,TIMP1,TLR2,TLR4,TMEM26,TNFRSF9,TRIP10,TSPO,UCP1,XDH,ZBTB16,ZNF423
115	Generic	Chondrocyte	Chondrocyte	Chondrocyte	pos	ACAN,AGER,ATF4,ATRX,BMP2,CHAD,CHODL,COL10A1,COL11A1,COL2A1,COL6A1,COL9A1,COL9A3,COMP,CREB3L2,CRTAC1,CTNNB1,CYTL1,DLK1,EMP1,FGF18,GADD45B,GLI3,HAPLN1,IGF2,IL10RA,LCN2,LUM,MATN1,MATN3,MGP,MIA,MMP13,NOG,PBX3,PRG4,PTHLH,RUNX2,RUNX3,S100A8,S100A9,SCRG1,SDC3,SHOX,SMO,SOX6,STAT1,TCF4,TNC,VDR,VEGFA
227	Breast	Epithelial cell	Epithelial cell	Luminal epithelial cell	pos	AGR2,ANKRD30A,ANPEP,ANXA1,AQP3,AQP5,AR,AREG,ATP2C2,ATP7B,BTG1,CD74,CD9,CDH1,CEBPD,CLDN4,DDR1,ESR1,FGFR2,FGFR4,FGG,HIF1A,HMGA1,KLK3,KRT18,KRT19,KRT23,KRT8,LCN2,LTF,MUC1,PGR,PIP,PROM1,PTH1R,RUNX1,SAA2,SERPINA1,SERPINB3,SERPINB4,SLC12A2,SLPI,STC2,SYTL2,TNFSF10,UXT,WFDC2,WNT5A
228	Breast	Epithelial cell	Epithelial cell	Mammary epithelial cell	pos	ABCG2,ALDH1A3,ANO1,BTN1A1,BTN2A2,BTN3A1,CDH1,CITED1,CLDN1,CLDN4,CSN1S1,CSN2,CSN3,FFAR1,FOXP4,IRF6,KDM3A,KRT14,KRT17,KRT18,KRT19,KRT5,KRT7,KRT8,LIF,LSR,MMP14,NEDD9,NNMT,PADI2,PIEZO1,PIP,PRLR,PYGO2,RARRES1,RUNX2,SERPINB5,SGMS2,SLC30A2,STAT3,SULT1E1,TOX3,WNT5B
